FISCAL_YEAR,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,COMPLETED_50TH_PERCENTILE,COMPLETED_90TH_PERCENTILE
2010/11,Northern,The University Hospital Of Northern British Columbia,Other Urology Surgery,37,128,3.9,15.7
2010/11,Northern,The University Hospital Of Northern British Columbia,Prostate Surgery,40,116,4.6,21.3
2010/11,Northern,The University Hospital Of Northern British Columbia,Rectal Surgery,15,46,7.4,36.6
2010/11,Northern,The University Hospital Of Northern British Columbia,Shoulder Surgery,155,165,27.6,141.5
2010/11,Northern,The University Hospital Of Northern British Columbia,Sinus Surgery,8,60,5.6,59.6
2010/11,Northern,The University Hospital Of Northern British Columbia,Skin Surgery,<5,27,4.0,11.5
2010/11,Northern,The University Hospital Of Northern British Columbia,Skin Tumour Removal,7,45,2.4,8.5
2010/11,Northern,The University Hospital Of Northern British Columbia,Spinal/Back Surgery,<5,6,1.5,9.7
2010/11,Northern,The University Hospital Of Northern British Columbia,Tendon Surgery,9,28,5.7,48.1
2010/11,Northern,The University Hospital Of Northern British Columbia,Thyroidectomy,7,39,5.3,13.3
2010/11,Northern,The University Hospital Of Northern British Columbia,Tympanoplasty,<5,<5,,
2010/11,Northern,The University Hospital Of Northern British Columbia,Uterine Surgery,78,433,4.0,40.6
2010/11,Northern,The University Hospital Of Northern British Columbia,Vaginal Repair,20,50,16.2,77.9
2010/11,Northern,The University Hospital Of Northern British Columbia,Varicose Veins Ligation/Stripping,<5,12,3.5,11.4
2010/11,Northern,The University Hospital Of Northern British Columbia,Vascular Bypass Graft - Non Cardiac,5,27,3.9,12.6
2010/11,Northern,The University Hospital Of Northern British Columbia,Vascular Surgery - Other,14,52,3.9,20.5
2010/11,Northern,The University Hospital Of Northern British Columbia,Wound/Laceration Care,<5,31,2.9,19.9
2010/11,Northern,Wrinch Memorial Hospital,All Other Procedures,<5,0,,
2010/11,Northern,Wrinch Memorial Hospital,All Procedures,18,100,6.4,21.9
2010/11,Northern,Wrinch Memorial Hospital,Dental Surgery,<5,42,3.6,14.7
2010/11,Northern,Wrinch Memorial Hospital,Fallopian Tube/Ovarian Surgery,<5,<5,,
2010/11,Northern,Wrinch Memorial Hospital,Hand/Wrist Surgery,<5,5,5.4,9.4
2010/11,Northern,Wrinch Memorial Hospital,Hernia Repair - Abdominal,<5,<5,,
2010/11,Northern,Wrinch Memorial Hospital,Other Ear Surgery,<5,0,,
2010/11,Northern,Wrinch Memorial Hospital,Other Orthopaedic Surgery,<5,<5,,
2010/11,Northern,Wrinch Memorial Hospital,Skin Tumour Removal,<5,<5,,
2010/11,Northern,Wrinch Memorial Hospital,Tonsillectomy/Adenoidectomy,8,8,13.4,32.4
2010/11,Provincial Health Services Authority,All Facilities,All Other Procedures,64,59,2.1,7.0
2010/11,Provincial Health Services Authority,All Facilities,All Procedures,"2,108","2,135",4.0,12.3
2010/11,Provincial Health Services Authority,All Facilities,Appendectomy,5,0,,
2010/11,Provincial Health Services Authority,All Facilities,Biopsy in OR,14,50,1.9,3.9
2010/11,Provincial Health Services Authority,All Facilities,Bowel Resection,<5,0,,
2010/11,Provincial Health Services Authority,All Facilities,Breast Biopsy,17,222,2.7,5.7
2010/11,Provincial Health Services Authority,All Facilities,Breast Reconstruction,<5,0,,
2010/11,Provincial Health Services Authority,All Facilities,Breast Reduction,<5,0,,
2010/11,Provincial Health Services Authority,All Facilities,CSF Drainage,<5,0,,
2010/11,Provincial Health Services Authority,All Facilities,Cataract Surgery,<5,0,,
2010/11,Provincial Health Services Authority,All Facilities,Cholecystectomy,<5,0,,
2010/11,Provincial Health Services Authority,All Facilities,Colostomy/Ileostomy,<5,0,,
2010/11,Provincial Health Services Authority,All Facilities,Cone Biopsy,7,22,3.9,6.1
2010/11,Provincial Health Services Authority,All Facilities,Cranial Surgery,11,0,,
2010/11,Provincial Health Services Authority,All Facilities,Cyst/Ganglion Removal,20,9,1.4,4.3
2010/11,Provincial Health Services Authority,All Facilities,D&C and Related Surgery,51,321,2.6,8.9
2010/11,Provincial Health Services Authority,All Facilities,Dental Surgery,267,0,,
2010/11,Provincial Health Services Authority,All Facilities,Examination Under Anaesthetic,49,13,7.0,15.3
2010/11,Provincial Health Services Authority,All Facilities,Excision Lesion/Tumour,55,86,5.6,12.4
2010/11,Provincial Health Services Authority,All Facilities,Facial Bone Reconstruction,<5,0,,
2010/11,Provincial Health Services Authority,All Facilities,Fallopian Tube/Ovarian Surgery,46,180,5.4,13.2
2010/11,Provincial Health Services Authority,All Facilities,Fistula Repair - Non Vascular,<5,0,,
2010/11,Provincial Health Services Authority,All Facilities,Foreign Body Removal Surgery,<5,0,,
2010/11,Provincial Health Services Authority,All Facilities,Fracture Repair,<5,0,,
2010/11,Provincial Health Services Authority,All Facilities,Gastrostomy/Jejunostomy,13,0,,
2010/11,Provincial Health Services Authority,All Facilities,Hand/Wrist Surgery,<5,0,,
2010/11,Provincial Health Services Authority,All Facilities,Hernia Repair - Abdominal,152,0,,
2010/11,Provincial Health Services Authority,All Facilities,Knee - ACL Repair,9,0,,
2010/11,Provincial Health Services Authority,All Facilities,Knee - Meniscectomy,<5,0,,
2010/11,Provincial Health Services Authority,All Facilities,Knee Arthroscopy,9,0,,
2010/11,Provincial Health Services Authority,All Facilities,Laparoscopy,16,78,4.0,10.4
2010/11,Provincial Health Services Authority,All Facilities,Lens & Vitreous (non-cataract) Surgery,<5,0,,
2010/11,Provincial Health Services Authority,All Facilities,Ligament Surgery,<5,0,,
2010/11,Provincial Health Services Authority,All Facilities,Lipectomy,<5,0,,
2010/11,Provincial Health Services Authority,All Facilities,Male Reproductive Surgery,78,0,,
2010/11,Provincial Health Services Authority,All Facilities,Mastectomy,6,58,2.4,4.6
2010/11,Provincial Health Services Authority,All Facilities,Mastoidectomy,8,0,,
2010/11,Provincial Health Services Authority,All Facilities,Myringotomy,78,0,,
2010/11,Provincial Health Services Authority,All Facilities,Nerve Surgery,<5,0,,
2010/11,Provincial Health Services Authority,All Facilities,Oral Cavity & Pharynx Surgery,23,0,,
2010/11,Provincial Health Services Authority,All Facilities,Other Ear Surgery,36,0,,
2010/11,Provincial Health Services Authority,All Facilities,Other Eye Surgery,137,0,,
2010/11,Provincial Health Services Authority,All Facilities,Other Joint Reconstruction,7,0,,
2010/11,Provincial Health Services Authority,All Facilities,Other Orthopaedic Surgery,204,0,,
2010/11,Provincial Health Services Authority,All Facilities,Other Urology Surgery,67,<5,,
2010/11,Provincial Health Services Authority,All Facilities,Rectal Surgery,<5,0,,
2010/11,Provincial Health Services Authority,All Facilities,Shunt Insertion/Removal,<5,0,,
2010/11,Provincial Health Services Authority,All Facilities,Skin Surgery,25,0,,
2010/11,Provincial Health Services Authority,All Facilities,Skin Tumour Removal,60,25,1.6,4.0
2010/11,Provincial Health Services Authority,All Facilities,Spinal/Back Surgery,183,0,,
2010/11,Provincial Health Services Authority,All Facilities,Tendon Surgery,22,0,,
2010/11,Provincial Health Services Authority,All Facilities,Thoracotomy,<5,0,,
2010/11,Provincial Health Services Authority,All Facilities,Tonsillectomy/Adenoidectomy,75,0,,
2010/11,Provincial Health Services Authority,All Facilities,Tympanoplasty,25,0,,
2010/11,Provincial Health Services Authority,All Facilities,Uterine Surgery,204,934,6.4,14.6
2010/11,Provincial Health Services Authority,All Facilities,Vaginal Repair,8,59,3.3,11.8
2010/11,Provincial Health Services Authority,All Facilities,Vascular Surgery - Other,18,16,5.1,9.6
2010/11,Provincial Health Services Authority,B.C. Cancer Agency,All Procedures,58,534,2.6,7.4
2010/11,Provincial Health Services Authority,B.C. Cancer Agency,Biopsy in OR,<5,47,1.9,3.1
2010/11,Provincial Health Services Authority,B.C. Cancer Agency,Breast Biopsy,17,222,2.7,5.7
2010/11,Provincial Health Services Authority,B.C. Cancer Agency,Cone Biopsy,<5,12,2.4,6.1
2010/11,Provincial Health Services Authority,B.C. Cancer Agency,D&C and Related Surgery,<5,24,2.9,6.2
2010/11,Provincial Health Services Authority,B.C. Cancer Agency,Excision Lesion/Tumour,17,86,5.6,12.4
2010/11,Provincial Health Services Authority,B.C. Cancer Agency,Mastectomy,6,58,2.4,4.6
2010/11,Provincial Health Services Authority,B.C. Cancer Agency,Skin Tumour Removal,<5,17,1.1,2.5
2010/11,Provincial Health Services Authority,B.C. Cancer Agency,Vaginal Repair,6,44,2.4,5.8
2010/11,Provincial Health Services Authority,B.C. Cancer Agency,Vascular Surgery - Other,<5,16,5.1,9.6
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,All Other Procedures,57,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,All Procedures,"1,723",0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Appendectomy,5,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Biopsy in OR,10,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Bowel Resection,<5,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Breast Reconstruction,<5,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Breast Reduction,<5,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,CSF Drainage,<5,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Cataract Surgery,<5,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Cholecystectomy,<5,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Colostomy/Ileostomy,<5,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Cranial Surgery,11,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Cyst/Ganglion Removal,17,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Dental Surgery,267,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Examination Under Anaesthetic,49,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Excision Lesion/Tumour,38,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Facial Bone Reconstruction,<5,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Fistula Repair - Non Vascular,<5,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Foreign Body Removal Surgery,<5,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Fracture Repair,<5,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Gastrostomy/Jejunostomy,13,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Hand/Wrist Surgery,<5,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Hernia Repair - Abdominal,152,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Knee - ACL Repair,9,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Knee - Meniscectomy,<5,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Knee Arthroscopy,9,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Laparoscopy,<5,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Lens & Vitreous (non-cataract) Surgery,<5,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Ligament Surgery,<5,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Lipectomy,<5,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Male Reproductive Surgery,78,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Mastoidectomy,8,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Myringotomy,78,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Nerve Surgery,<5,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Oral Cavity & Pharynx Surgery,23,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Other Ear Surgery,36,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Other Eye Surgery,137,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Other Joint Reconstruction,7,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Other Orthopaedic Surgery,204,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Other Urology Surgery,67,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Rectal Surgery,<5,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Shunt Insertion/Removal,<5,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Skin Surgery,25,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Skin Tumour Removal,59,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Spinal/Back Surgery,183,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Tendon Surgery,22,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Thoracotomy,<5,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Tonsillectomy/Adenoidectomy,75,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Tympanoplasty,25,0,,
2010/11,Provincial Health Services Authority,B.C. Children'S Hospital,Vascular Surgery - Other,17,0,,
2010/11,Provincial Health Services Authority,B.C. Women'S Hospital,All Other Procedures,7,59,2.1,7.0
2010/11,Provincial Health Services Authority,B.C. Women'S Hospital,All Procedures,327,"1,601",4.9,13.6
2010/11,Provincial Health Services Authority,B.C. Women'S Hospital,Cone Biopsy,5,10,3.9,5.1
2010/11,Provincial Health Services Authority,B.C. Women'S Hospital,Cyst/Ganglion Removal,<5,9,1.4,4.3
2010/11,Provincial Health Services Authority,B.C. Women'S Hospital,D&C and Related Surgery,47,297,2.6,9.0
2010/11,Provincial Health Services Authority,B.C. Women'S Hospital,Fallopian Tube/Ovarian Surgery,46,180,5.4,13.2
2010/11,Provincial Health Services Authority,B.C. Women'S Hospital,Laparoscopy,13,78,4.0,10.4
2010/11,Provincial Health Services Authority,B.C. Women'S Hospital,Uterine Surgery,204,934,6.4,14.6
2010/11,Provincial Health Services Authority,B.C. Women'S Hospital,Vaginal Repair,<5,15,7.4,22.3
2010/11,Vancouver Coastal,All Facilities,Abdominoplasty,16,13,8.7,26.0
2010/11,Vancouver Coastal,All Facilities,All Other Procedures,341,"1,820",3.3,13.2
2010/11,Vancouver Coastal,All Facilities,All Procedures,"16,604","58,185",4.1,19.6
2010/11,Vancouver Coastal,All Facilities,Aortic Aneurysm Repair,15,135,2.9,9.0
2010/11,Vancouver Coastal,All Facilities,Appendectomy,6,25,4.0,12.2
2010/11,Vancouver Coastal,All Facilities,Bariatric Surgery,7,14,6.5,11.6
2010/11,Vancouver Coastal,All Facilities,Biopsy in OR,75,617,3.0,8.0
2010/11,Vancouver Coastal,All Facilities,Bladder Surgery,266,"1,441",3.4,15.4
2010/11,Vancouver Coastal,All Facilities,Bowel Resection,124,696,2.3,10.7
2010/11,Vancouver Coastal,All Facilities,Breast Biopsy,28,563,3.1,7.7
2010/11,Vancouver Coastal,All Facilities,Breast Reconstruction,281,447,3.9,24.5
2010/11,Vancouver Coastal,All Facilities,Breast Reduction,366,493,12.7,45.5
2010/11,Vancouver Coastal,All Facilities,CSF Drainage,<5,35,0.9,5.4
2010/11,Vancouver Coastal,All Facilities,Cataract Surgery,"2,129","13,923",4.3,14.0
2010/11,Vancouver Coastal,All Facilities,Cholecystectomy,358,"1,054",6.4,27.0
2010/11,Vancouver Coastal,All Facilities,Colostomy/Ileostomy,88,182,8.7,35.7
2010/11,Vancouver Coastal,All Facilities,Cone Biopsy,16,134,5.4,13.1
2010/11,Vancouver Coastal,All Facilities,Cranial Surgery,67,522,1.4,10.3
2010/11,Vancouver Coastal,All Facilities,Cyst/Ganglion Removal,166,413,5.6,21.4
2010/11,Vancouver Coastal,All Facilities,D&C and Related Surgery,164,882,3.4,15.8
2010/11,Vancouver Coastal,All Facilities,Dental Surgery,331,432,3.4,42.6
2010/11,Vancouver Coastal,All Facilities,Endarterectomy,22,139,1.9,6.1
2010/11,Vancouver Coastal,All Facilities,Esophagectomy,<5,24,3.3,11.0
2010/11,Vancouver Coastal,All Facilities,Examination Under Anaesthetic,30,99,4.6,11.5
2010/11,Vancouver Coastal,All Facilities,Excision Gynecomastia,25,48,3.6,19.5
2010/11,Vancouver Coastal,All Facilities,Excision Lesion/Tumour,198,771,3.0,13.1
2010/11,Vancouver Coastal,All Facilities,Facial Bone Reconstruction,35,313,3.1,6.0
2010/11,Vancouver Coastal,All Facilities,Fallopian Tube/Ovarian Surgery,237,814,5.1,21.1
2010/11,Vancouver Coastal,All Facilities,Fistula Repair - Non Vascular,8,18,3.9,27.6
2010/11,Vancouver Coastal,All Facilities,Foot/Ankle Surgery,156,380,4.0,29.3
2010/11,Vancouver Coastal,All Facilities,Foreign Body Removal Surgery,9,40,3.4,9.2
2010/11,Vancouver Coastal,All Facilities,Fracture Repair,61,268,2.1,10.6
2010/11,Vancouver Coastal,All Facilities,Free Flap Graft,<5,21,2.1,26.9
2010/11,Vancouver Coastal,All Facilities,Hand/Wrist Surgery,92,293,4.7,21.9
2010/11,Vancouver Coastal,All Facilities,Hernia Repair - Abdominal,"1,000","2,384",8.1,30.5
2010/11,Vancouver Coastal,All Facilities,Hernia Repair - Hiatal,82,58,8.4,52.3
2010/11,Vancouver Coastal,All Facilities,Hip Replacement,739,"1,564",10.7,24.1
2010/11,Vancouver Coastal,All Facilities,Kidney/Bladder Stone Removal,50,398,2.4,7.9
2010/11,Vancouver Coastal,All Facilities,Knee - ACL Repair,170,613,6.1,21.1
2010/11,Vancouver Coastal,All Facilities,Knee - Meniscectomy,198,641,5.6,19.0
2010/11,Vancouver Coastal,All Facilities,Knee Arthroscopy,290,696,9.6,25.1
2010/11,Vancouver Coastal,All Facilities,Knee Replacement,"1,123","2,113",10.6,24.9
2010/11,Vancouver Coastal,All Facilities,Laparoscopy,72,407,4.4,18.1
2010/11,Vancouver Coastal,All Facilities,Laparotomy,22,168,2.4,9.9
2010/11,Vancouver Coastal,All Facilities,Lens & Vitreous (non-cataract) Surgery,60,992,1.1,4.1
2010/11,Vancouver Coastal,All Facilities,Ligament Surgery,9,13,3.0,18.1
2010/11,Vancouver Coastal,All Facilities,Lipectomy,13,22,7.4,26.4
2010/11,Vancouver Coastal,All Facilities,Lung Surgery,30,357,1.9,5.1
2010/11,Vancouver Coastal,All Facilities,Male Reproductive Surgery,121,453,4.3,20.6
2010/11,Vancouver Coastal,All Facilities,Mastectomy,145,"1,258",2.1,5.7
2010/11,Vancouver Coastal,All Facilities,Mastoidectomy,62,126,8.6,36.6
2010/11,Vancouver Coastal,All Facilities,Myringotomy,20,118,3.4,16.5
2010/11,Vancouver Coastal,All Facilities,Nasal Surgery,628,987,8.7,29.7
2010/11,Vancouver Coastal,All Facilities,Nerve Surgery,61,254,3.0,12.6
2010/11,Vancouver Coastal,All Facilities,Oral Cavity & Pharynx Surgery,6,26,3.0,12.5
2010/11,Vancouver Coastal,All Facilities,Other Ear Surgery,29,69,12.7,41.0
2010/11,Vancouver Coastal,All Facilities,Other Eye Surgery,460,"2,267",3.4,21.4
2010/11,Vancouver Coastal,All Facilities,Other Joint Reconstruction,255,674,3.1,31.8
2010/11,Vancouver Coastal,All Facilities,Other Orthopaedic Surgery,453,"1,533",4.0,18.9
2010/11,Vancouver Coastal,All Facilities,Other Urology Surgery,235,"1,865",2.9,8.8
2010/11,Vancouver Coastal,All Facilities,Parotidectomy,50,122,4.0,30.8
2010/11,Vancouver Coastal,All Facilities,Prostate Surgery,258,"1,403",4.3,14.3
2010/11,Vancouver Coastal,All Facilities,Rectal Surgery,397,568,9.4,36.3
2010/11,Vancouver Coastal,All Facilities,Rib Resection,6,23,17.6,26.2
2010/11,Vancouver Coastal,All Facilities,Scope of Chest,10,94,1.0,3.4
2010/11,Vancouver Coastal,All Facilities,Shoulder Surgery,415,827,8.4,33.4
2010/11,Vancouver Coastal,All Facilities,Shunt Insertion/Removal,<5,<5,,
2010/11,Vancouver Coastal,All Facilities,Sinus Surgery,828,489,6.3,35.4
2010/11,Vancouver Coastal,All Facilities,Skin Surgery,79,250,3.6,20.5
2010/11,Vancouver Coastal,All Facilities,Skin Tumour Removal,97,359,3.0,15.1
2010/11,Vancouver Coastal,All Facilities,Sphincterotomy,19,33,5.6,13.1
2010/11,Vancouver Coastal,All Facilities,Spinal/Back Surgery,269,"1,069",3.9,18.1
2010/11,Vancouver Coastal,All Facilities,Tendon Surgery,44,128,2.3,22.2
2010/11,Vancouver Coastal,All Facilities,Thyroidectomy,148,459,4.4,25.6
2010/11,Vancouver Coastal,All Facilities,Tonsillectomy/Adenoidectomy,137,400,5.5,20.6
2010/11,Vancouver Coastal,All Facilities,Tympanoplasty,191,287,7.3,42.1
2010/11,Vancouver Coastal,All Facilities,Uterine Surgery,502,"2,684",3.9,17.4
2010/11,Vancouver Coastal,All Facilities,Vaginal Repair,108,402,4.1,22.7
2010/11,Vancouver Coastal,All Facilities,Varicose Veins Ligation/Stripping,807,514,17.2,49.4
2010/11,Vancouver Coastal,All Facilities,Vascular Bypass Graft - Non Cardiac,32,271,2.4,12.9
2010/11,Vancouver Coastal,All Facilities,Vascular Surgery - Other,88,458,2.1,11.9
2010/11,Vancouver Coastal,All Facilities,Wound/Laceration Care,60,198,3.0,22.6
2010/11,Vancouver Coastal,Lions Gate Hospital,Abdominoplasty,<5,<5,,
2010/11,Vancouver Coastal,Lions Gate Hospital,All Other Procedures,17,133,3.0,11.8
2010/11,Vancouver Coastal,Lions Gate Hospital,All Procedures,"2,636","9,306",5.6,18.7
2010/11,Vancouver Coastal,Lions Gate Hospital,Appendectomy,<5,<5,,
2010/11,Vancouver Coastal,Lions Gate Hospital,Biopsy in OR,10,96,1.4,6.6
2010/11,Vancouver Coastal,Lions Gate Hospital,Bladder Surgery,75,353,4.0,18.9
2010/11,Vancouver Coastal,Lions Gate Hospital,Bowel Resection,<5,109,2.3,6.1
2010/11,Vancouver Coastal,Lions Gate Hospital,Breast Reconstruction,11,25,9.3,41.6
2010/11,Vancouver Coastal,Lions Gate Hospital,Breast Reduction,62,86,18.9,66.7
2010/11,Vancouver Coastal,Lions Gate Hospital,Cataract Surgery,750,"2,891",6.1,11.3
2010/11,Vancouver Coastal,Lions Gate Hospital,Cholecystectomy,46,176,6.4,20.6
2010/11,Vancouver Coastal,Lions Gate Hospital,Colostomy/Ileostomy,<5,21,6.6,18.4
2010/11,Vancouver Coastal,Lions Gate Hospital,Cone Biopsy,<5,9,1.6,4.3
2010/11,Vancouver Coastal,Lions Gate Hospital,Cranial Surgery,<5,72,0.7,3.1
2010/11,Vancouver Coastal,Lions Gate Hospital,Cyst/Ganglion Removal,32,72,5.4,19.6
2010/11,Vancouver Coastal,Lions Gate Hospital,D&C and Related Surgery,46,265,3.3,8.5
2010/11,Vancouver Coastal,Lions Gate Hospital,Endarterectomy,<5,<5,,
2010/11,Vancouver Coastal,Lions Gate Hospital,Examination Under Anaesthetic,<5,<5,,
2010/11,Vancouver Coastal,Lions Gate Hospital,Excision Gynecomastia,<5,5,5.0,15.9
2010/11,Vancouver Coastal,Lions Gate Hospital,Excision Lesion/Tumour,9,41,3.3,18.0
2010/11,Vancouver Coastal,Lions Gate Hospital,Fallopian Tube/Ovarian Surgery,15,41,6.6,22.3
2010/11,Vancouver Coastal,Lions Gate Hospital,Foot/Ankle Surgery,31,53,12.4,30.6
2010/11,Vancouver Coastal,Lions Gate Hospital,Fracture Repair,<5,50,1.0,7.6
2010/11,Vancouver Coastal,Lions Gate Hospital,Free Flap Graft,<5,6,1.1,2.3
2010/11,Vancouver Coastal,Lions Gate Hospital,Hand/Wrist Surgery,6,8,21.4,39.4
2010/11,Vancouver Coastal,Lions Gate Hospital,Hernia Repair - Abdominal,200,459,8.9,34.7
2010/11,Vancouver Coastal,Lions Gate Hospital,Hip Replacement,133,248,10.9,22.9
2010/11,Vancouver Coastal,Lions Gate Hospital,Kidney/Bladder Stone Removal,<5,6,2.7,17.1
2010/11,Vancouver Coastal,Lions Gate Hospital,Knee - ACL Repair,28,78,10.9,25.1
2010/11,Vancouver Coastal,Lions Gate Hospital,Knee - Meniscectomy,116,301,8.3,21.9
2010/11,Vancouver Coastal,Lions Gate Hospital,Knee Arthroscopy,<5,<5,,
2010/11,Vancouver Coastal,Lions Gate Hospital,Knee Replacement,265,406,14.1,23.7
2010/11,Vancouver Coastal,Lions Gate Hospital,Laparoscopy,34,158,7.2,23.4
2010/11,Vancouver Coastal,Lions Gate Hospital,Laparotomy,<5,<5,,
2010/11,Vancouver Coastal,Lions Gate Hospital,Male Reproductive Surgery,24,66,9.1,26.2
2010/11,Vancouver Coastal,Lions Gate Hospital,Mastectomy,18,339,1.3,5.0
2010/11,Vancouver Coastal,Lions Gate Hospital,Mastoidectomy,<5,27,3.9,27.1
2010/11,Vancouver Coastal,Lions Gate Hospital,Myringotomy,<5,70,2.5,9.6
2010/11,Vancouver Coastal,Lions Gate Hospital,Nasal Surgery,42,113,5.7,16.1
2010/11,Vancouver Coastal,Lions Gate Hospital,Nerve Surgery,6,31,3.7,30.0
2010/11,Vancouver Coastal,Lions Gate Hospital,Other Ear Surgery,<5,10,4.7,69.5
2010/11,Vancouver Coastal,Lions Gate Hospital,Other Eye Surgery,<5,6,9.5,31.8
2010/11,Vancouver Coastal,Lions Gate Hospital,Other Joint Reconstruction,<5,19,8.0,18.9
2010/11,Vancouver Coastal,Lions Gate Hospital,Other Orthopaedic Surgery,71,246,6.0,19.3
2010/11,Vancouver Coastal,Lions Gate Hospital,Other Urology Surgery,30,191,3.0,13.6
2010/11,Vancouver Coastal,Lions Gate Hospital,Parotidectomy,<5,9,4.0,13.2
2010/11,Vancouver Coastal,Lions Gate Hospital,Prostate Surgery,39,130,5.3,22.3
2010/11,Vancouver Coastal,Lions Gate Hospital,Rectal Surgery,49,56,11.9,32.9
2010/11,Vancouver Coastal,Lions Gate Hospital,Shoulder Surgery,60,166,13.0,35.8
2010/11,Vancouver Coastal,Lions Gate Hospital,Sinus Surgery,<5,9,2.1,5.5
2010/11,Vancouver Coastal,Lions Gate Hospital,Skin Surgery,9,34,4.6,18.1
2010/11,Vancouver Coastal,Lions Gate Hospital,Skin Tumour Removal,14,62,3.1,16.9
2010/11,Vancouver Coastal,Lions Gate Hospital,Sphincterotomy,6,8,3.2,9.2
2010/11,Vancouver Coastal,Lions Gate Hospital,Spinal/Back Surgery,121,718,3.7,16.9
2010/11,Vancouver Coastal,Lions Gate Hospital,Tendon Surgery,5,17,1.7,31.4
2010/11,Vancouver Coastal,Lions Gate Hospital,Thyroidectomy,7,32,4.3,14.4
2010/11,Vancouver Coastal,Lions Gate Hospital,Tonsillectomy/Adenoidectomy,28,138,4.1,11.4
2010/11,Vancouver Coastal,Lions Gate Hospital,Tympanoplasty,15,53,4.3,17.1
2010/11,Vancouver Coastal,Lions Gate Hospital,Uterine Surgery,70,408,6.6,19.9
2010/11,Vancouver Coastal,Lions Gate Hospital,Vaginal Repair,15,40,6.2,34.5
2010/11,Vancouver Coastal,Lions Gate Hospital,Varicose Veins Ligation/Stripping,56,55,16.4,42.1
2010/11,Vancouver Coastal,Lions Gate Hospital,Vascular Bypass Graft - Non Cardiac,<5,13,3.9,6.5
2010/11,Vancouver Coastal,Lions Gate Hospital,Vascular Surgery - Other,<5,24,1.1,7.3
2010/11,Vancouver Coastal,Lions Gate Hospital,Wound/Laceration Care,<5,12,3.1,26.8
2010/11,Vancouver Coastal,Mount Saint Joseph Hospital,Abdominoplasty,7,6,12.5,28.9
2010/11,Vancouver Coastal,Mount Saint Joseph Hospital,All Other Procedures,17,93,3.1,6.0
